chr	windowStart	windowEnd	D	f_d	f_dM	d_f
scaffold_18	35690	35940	-0.207124	-0.331503	-0.240643	-0.144634
scaffold_18	35728	36004	-0.177387	-0.329217	-0.236044	-0.122487
scaffold_18	35824	36054	-0.180354	-0.292690	-0.211755	-0.125490
scaffold_18	35856	36069	-0.100218	-0.168082	-0.134876	-0.067680
scaffold_18	35877	36145	-0.070108	-0.124274	-0.100139	-0.047190
scaffold_18	35895	36337	-0.004024	-0.006511	-0.005540	-0.002647
scaffold_18	35911	36499	-0.015072	-0.025683	-0.021938	-0.009973
scaffold_18	35933	36501	-0.012731	-0.021583	-0.018552	-0.008387
scaffold_18	35935	36506	-0.033832	-0.053963	-0.044823	-0.022482
scaffold_18	35940	36512	-0.033832	-0.053963	-0.044823	-0.022482
scaffold_18	36004	36529	-0.027192	-0.089606	-0.063201	-0.017513
scaffold_18	36054	36534	-0.060927	-0.208766	-0.140848	-0.039724
scaffold_18	36069	36557	-0.099483	-0.164369	-0.128866	-0.065421
scaffold_18	36145	36573	0.008328	0.011840	0.009327	0.005639
scaffold_18	36337	36588	-0.049883	-0.043431	-0.036060	-0.034707
scaffold_18	36499	36613	0.140221	0.114354	0.098118	0.106145
scaffold_18	36501	36663	0.134064	0.114258	0.076586	0.059842
scaffold_18	36506	36669	0.149115	0.119575	0.081764	0.042972
scaffold_18	36512	36735	0.195443	0.151088	0.104879	0.054751
scaffold_18	36529	36736	0.136183	0.096462	0.063527	0.035873
scaffold_18	36534	36985	0.081967	0.054906	0.035554	0.022304
scaffold_18	36557	37014	0.078598	0.050846	0.033508	0.022366
scaffold_18	36573	37087	0.149123	0.129556	0.077273	0.029531
scaffold_18	36588	37179	-0.190090	-0.201210	-0.103903	-0.040076
scaffold_18	36613	37322	-0.178995	-0.175528	-0.094063	-0.037333
scaffold_18	36663	37384	-0.668622	-0.850142	-0.330444	-0.128911
scaffold_18	36669	37499	-0.694524	-0.817107	-0.340684	-0.139226
scaffold_18	36735	37526	-0.803255	-0.959518	-0.403590	-0.279213
scaffold_18	36736	37567	-0.845125	-1.277827	-0.476033	-0.341129
scaffold_18	36985	37568	-0.866024	-1.513682	-0.518352	-0.380157
scaffold_18	37014	38519	-0.859044	-1.021953	-0.442873	-0.372356
scaffold_18	37087	38592	-0.975843	-1.238537	-0.485762	-0.417978
scaffold_18	37179	38613	-0.996440	-1.497101	-0.533439	-0.658723
scaffold_18	37322	38654	-0.996762	-1.643800	-0.556724	-0.679823
scaffold_18	37384	38660	-0.997226	-3.164066	-0.677073	-0.712587
