chr	windowStart	windowEnd	D	f_d	f_dM	d_f
scaffold_18	36613	40771	-0.741950	-1.327901	-0.447924	-0.342251
scaffold_18	38986	44607	-0.844348	-2.589456	-0.566627	-0.525714
scaffold_18	41070	46494	-0.927653	-4.611471	-0.685730	-0.795929
scaffold_18	44741	49163	-0.637637	-1.433924	-0.449562	-0.444747
scaffold_18	46507	51772	-0.632856	-1.417845	-0.429563	-0.389869
scaffold_18	49304	56576	-0.361377	-0.757474	-0.208051	-0.218203
scaffold_18	51798	59347	0.198978	0.266097	0.103775	0.110171
scaffold_18	56582	66968	0.380014	0.414164	0.195244	0.209692
scaffold_18	59430	74098	0.183873	0.144737	0.078566	0.096003
scaffold_18	67703	91756	0.004119	0.002380	0.001331	0.002362
scaffold_18	74932	112253	-0.033947	-0.020186	-0.011442	-0.022949
scaffold_18	93207	123326	-0.096964	-0.069885	-0.038526	-0.052583
scaffold_18	114542	141925	-0.089033	-0.059638	-0.033188	-0.040072
scaffold_18	123847	149487	-0.188782	-0.187345	-0.092996	-0.115505
scaffold_18	142773	166946	0.019181	0.012051	0.006921	0.010327
scaffold_18	150981	193548	0.296038	0.128029	0.087331	0.160716
scaffold_18	168094	203799	0.074752	0.053754	0.032769	0.051279
scaffold_18	193551	220562	0.004280	0.002997	0.001911	0.002695
scaffold_18	205254	242505	0.040648	0.019840	0.013135	0.023701
scaffold_18	220728	255821	0.139203	0.072918	0.044345	0.090303
scaffold_18	242576	266283	0.284443	0.143290	0.098612	0.164881
scaffold_18	255945	283368	0.047067	0.022000	0.013176	0.026222
scaffold_18	266337	307812	-0.041734	-0.019274	-0.011562	-0.024788
scaffold_18	283389	328122	0.181698	0.113402	0.088069	0.080005
scaffold_18	310491	352223	0.253592	0.194138	0.135232	0.121053
scaffold_18	328128	369538	0.156365	0.072616	0.055906	0.080529
scaffold_18	352231	372817	-0.004572	-0.002662	-0.002012	-0.001935
scaffold_18	369580	387821	0.086630	0.081874	0.047236	0.034549
scaffold_18	372970	408985	0.414909	0.198696	0.134752	0.225769
scaffold_18	388404	413826	0.397194	0.241879	0.169987	0.269202
scaffold_18	409034	424619	0.070687	0.053624	0.036402	0.043216
scaffold_18	414028	448932	-0.027083	-0.015399	-0.010405	-0.017224
scaffold_18	426062	460747	0.144376	0.075719	0.051649	0.103665
scaffold_18	449022	476731	0.072192	0.036834	0.024047	0.045344
scaffold_18	460766	513806	0.080243	0.029690	0.020129	0.054114
scaffold_18	477197	538849	0.012307	0.005320	0.003374	0.010267
