chr	windowStart	windowEnd	D	f_d	f_dM	d_f
scaffold_18	35690	35728	-0.105263	-0.193658	-0.153840	-0.071038
scaffold_18	35728	35824	-0.384401	-2.476923	-0.696656	-0.288703
scaffold_18	35824	35856	-0.890625	40.714286	-0.917505	-0.740260
scaffold_18	35856	35877	-0.264901	-1.511879	-0.565015	-0.181818
scaffold_18	35877	35895	-0.280936	-1.633333	-0.582467	-0.198113
scaffold_18	35895	35911	-0.275862	1.129032	-0.571429	-0.117647
scaffold_18	35911	35933	-0.106464	-0.529158	-0.328583	-0.068627
scaffold_18	35933	35935	-0.105263	-0.466667	-0.318182	-0.071038
scaffold_18	35935	35940	-0.108434	-0.062376	-0.058714	-0.079470
scaffold_18	35940	36004	0.054608	0.027451	0.026988	0.038005
scaffold_18	36004	36054	0.172727	0.438654	0.417566	0.109827
scaffold_18	36054	36069	-0.054054	-0.173023	-0.125798	-0.037037
scaffold_18	36069	36145	-0.000000	-0.000000	-0.000000	0.000000
scaffold_18	36145	36337	0.125000	0.338920	0.257996	0.077844
scaffold_18	36337	36499	-0.000000	-0.000000	-0.000000	0.000000
scaffold_18	36499	36501	-0.090226	-0.264567	-0.205630	-0.056604
scaffold_18	36501	36506	-0.720000	-12.857143	-0.897010	-0.473684
scaffold_18	36506	36512	-0.270627	-1.471795	-0.595436	-0.194313
scaffold_18	36512	36529	-0.090226	-0.400572	-0.279348	-0.056604
scaffold_18	36529	36534	-0.090226	-0.400572	-0.279348	-0.056604
scaffold_18	36534	36557	-0.255892	-0.131683	-0.116360	-0.182692
scaffold_18	36557	36573	0.473684	0.137672	0.120858	0.473684
scaffold_18	36573	36588	0.473684	0.137672	0.120858	0.473684
scaffold_18	36588	36613	0.696970	0.286988	0.270134	0.696970
scaffold_18	36613	36663	0.622905	2.308489	0.419035	0.147389
scaffold_18	36663	36669	-0.377551	0.408646	-0.107236	-0.013440
scaffold_18	36669	36735	0.333333	0.112903	0.090615	0.006536
scaffold_18	36735	36736	-1.000000	28.466667	-0.942085	-1.000000
scaffold_18	36736	36985	-1.000000	-1.226742	-0.462319	-1.000000
scaffold_18	36985	37014	-0.246835	-0.286704	-0.191926	-0.246835
scaffold_18	37014	37087	-0.027972	-0.038095	-0.033007	-0.004479
scaffold_18	37087	37179	-0.836066	-2.914286	-0.683703	-0.116972
scaffold_18	37179	37322	-1.000000	-0.439430	-0.305281	-1.000000
scaffold_18	37322	37384	-1.000000	-0.435997	-0.272841	-0.654987
scaffold_18	37384	37499	-1.000000	2.248521	-0.532716	-0.208791
scaffold_18	37499	37526	-1.000000	-1.695790	-0.448799	-0.322751
scaffold_18	37526	37567	-1.000000	-2.005555	-0.667283	-1.000000
scaffold_18	37567	37568	-1.000000	-inf	-1.000000	-1.000000
scaffold_18	37568	38519	-0.979798	-0.596517	-0.352946	-0.979798
scaffold_18	38519	38592	-0.964912	-0.338231	-0.236224	-0.964912
scaffold_18	38592	38613	-1.000000	-inf	-1.000000	-1.000000
scaffold_18	38613	38654	-1.000000	-260.000000	-0.996169	-1.000000
scaffold_18	38654	38660	-1.000000	-320.000000	-0.996885	-1.000000
scaffold_18	38660	38731	-1.000000	-inf	-1.000000	-1.000000
scaffold_18	38731	38775	-1.000000	-inf	-1.000000	-1.000000
scaffold_18	38775	38795	-0.217391	-0.388889	-0.186170	-0.217391
